Time,target_send_rate,increase_size_bytes,total_file_size_bytes,total_dir_size_bytes
162.0000,41.3500,598253.7498,43818389.4690,43818389.4690
163.0000,32.1300,449408.5038,44267797.9728,44267797.9728
164.0000,44.8700,655079.7006,44922877.6734,44922877.6734
165.0000,39.4300,567257.7768,45490135.4502,45490135.4502
166.0000,50.0900,739350.0024,46229485.4526,46229485.4526
167.0000,40.5400,585177.3234,46814662.7760,46814662.7760
168.0000,31.2400,435040.5792,47249703.3552,47249703.3552
169.0000,22.3500,291522.7662,47541226.1214,47541226.1214
170.0000,41.3800,598738.0620,48139964.1834,48139964.1834
171.0000,32.0800,448601.3172,48588565.5006,48588565.5006
172.0000,58.3100,872051.5116,49460617.0122,49460617.0122
173.0000,46.2000,676550.8692,50137167.8814,50137167.8814
174.0000,29.4700,406466.1666,50543634.0480,50543634.0480
175.0000,29.0700,400008.6720,50943642.7200,50943642.7200
176.0000,45.3600,662990.1312,51606632.8512,51606632.8512
177.0000,50.5600,746937.5580,52353570.4092,52353570.4092
178.0000,38.7300,555957.1614,52909527.5706,52909527.5706
179.0000,29.9600,414376.5972,53323904.1678,53323904.1678
180.0000,27.4800,374340.1320,53698244.2998,53698244.2998
181.0000,63.0600,948734.2578,54646978.5576,54646978.5576
182.0000,27.5500,375470.1930,55022448.7506,55022448.7506
183.0000,54.9100,817162.8096,55839611.5602,55839611.5602
184.0000,37.9500,543365.0472,56382976.6074,56382976.6074
185.0000,26.6600,361102.2684,56744078.8758,56744078.8758
186.0000,10.0000,92147.6268,56836226.5026,56836226.5026
187.0000,27.9600,382089.1248,57218315.6274,57218315.6274
188.0000,34.8100,492673.7166,57710989.3440,57710989.3440
189.0000,52.8900,784552.4628,58495541.8068,58495541.8068
190.0000,62.6300,941792.4510,59437334.2578,59437334.2578
191.0000,20.8500,267307.1622,59704641.4200,59704641.4200
192.0000,41.2600,596800.8132,60301442.2332,60301442.2332
193.0000,57.9900,866885.5164,61168327.7496,61168327.7496
194.0000,29.1300,400977.2958,61569305.0454,61569305.0454
195.0000,37.2800,532548.7440,62101853.7894,62101853.7894
196.0000,10.0000,92147.6268,62194001.4162,62194001.4162
197.0000,36.1600,514467.7602,62708469.1764,62708469.1764
198.0000,32.5000,455381.6862,63163850.8626,63163850.8626
199.0000,27.4000,373048.6326,63536899.4952,63536899.4952
200.0000,31.7600,443435.3220,63980334.8172,63980334.8172
201.0000,34.5200,487992.0330,64468326.8502,64468326.8502
202.0000,46.9200,688174.3590,65156501.2092,65156501.2092
203.0000,82.1500,1256918.1774,66413419.3866,66413419.3866
204.0000,37.6600,538683.3642,66952102.7508,66952102.7508
205.0000,30.4900,422932.7772,67375035.5280,67375035.5280
206.0000,35.2400,499615.5228,67874651.0508,67874651.0508
207.0000,41.7700,605034.1188,68479685.1696,68479685.1696
208.0000,48.8800,719816.0814,69199501.2510,69199501.2510
209.0000,35.2800,500261.2722,69699762.5232,69699762.5232
210.0000,34.8600,493480.9032,70193243.4264,70193243.4264
211.0000,16.0800,190301.5416,70383544.9680,70383544.9680
212.0000,55.5400,827333.3634,71210878.3314,71210878.3314
213.0000,71.5900,1086440.3256,72297318.6570,72297318.6570
214.0000,48.6500,716103.0222,73013421.6792,73013421.6792
215.0000,60.0900,900787.3620,73914209.0412,73914209.0412
216.0000,36.8200,525122.6256,74439331.6668,74439331.6668
217.0000,27.4500,373855.8198,74813187.4866,74813187.4866
218.0000,29.0700,400008.6720,75213196.1586,75213196.1586
