@RELATION rate_vs_increase_training

@ATTRIBUTE target_send_rate NUMERIC
@ATTRIBUTE sum_size_increase_bytes NUMERIC

@DATA
177.0,484460.5
395.0,1096465.5
677.0,1873400.0
830.0,2292683.0
961.0,2655403.0
685.0,1889526.0
383.0,1048737.5
957.0,2682928.0
613.0,1664226.0
257.0,706589.0
538.0,1487146.0
335.0,932220.5
15.0,38883.0
324.0,831802.0
759.0,2060312.0
222.0,601330.0
179.0,511126.5
984.0,2231790.5
22.0,64620.5
356.0,963711.0
667.0,1853383.0
902.0,2504203.0
340.0,939069.5
431.0,1204986.5
551.0,1512077.0
834.0,1813010.5
203.0,560488.5
631.0,1769105.0
93.0,253606.5
558.0,1311376.0
68.0,186636.5
693.0,1916904.0
284.0,790870.5
974.0,2688365.0
434.0,1203819.0
153.0,426172.5
75.0,202435.5
731.0,1994390.0
446.0,1220867.5
188.0,518180.0
271.0,580017.0
236.0,639564.5
487.0,998726.3333333334
117.0,322654.0
819.0,2257586.0
512.0,1420952.0
826.0,2291382.0
866.0,2320864.0
126.0,330004.0
116.0,319977.0
473.0,1309050.5
694.0,1950297.0
57.0,155162.5
675.0,1856716.0
913.0,2539502.0
369.0,1035784.5
268.0,729369.0
46.0,121480.0
349.0,725252.0
195.0,532313.0
1000.0,2766402.0
835.0,2290207.0
737.0,2058262.0
263.0,729599.5
443.0,1218566.0
998.0,2805260.0
304.0,835637.0
341.0,931561.5
599.0,1649757.0
967.0,2674948.0
149.0,416936.0
124.0,339181.0
787.0,2150023.0
50.0,139571.5
353.0,1000082.5
928.0,2558398.0
142.0,385149.5
470.0,1283670.5
399.0,1094003.5
626.0,1671988.0
320.0,892840.5
19.0,46526.666666666664
810.0,1767011.5
887.0,2458616.0
809.0,2243487.0
407.0,1112488.0
537.0,1499216.0
621.0,1726585.0
38.0,104855.0
175.0,366694.6666666667
245.0,682435.5
829.0,2287438.0
668.0,1835165.0
755.0,2076357.0
859.0,2333876.0
154.0,411021.0
287.0,779354.0
603.0,1673410.0
569.0,1540792.0
780.0,1728989.5
17.0,33694.333333333336
127.0,281746.6666666667
322.0,884712.5
255.0,704937.5
802.0,2211035.0
965.0,2627788.0
190.0,535092.5
115.0,254764.0
617.0,1690654.0
606.0,1397825.5
180.0,479497.3333333333
301.0,638240.0
760.0,2117853.0
713.0,1964533.0
893.0,2436949.0
953.0,2608726.0
662.0,1841695.0
517.0,1414305.0
985.0,2725839.0
45.0,125498.5
910.0,2580225.0
157.0,337179.6666666667
745.0,2050184.0
171.0,469475.5
16.0,42139.0
511.0,1430391.0
48.0,132192.33333333334
972.0,2128393.0
841.0,2302465.0
515.0,1418913.0
687.0,1908491.0
480.0,1187465.3333333333
283.0,599086.0
892.0,2458223.0
655.0,1782629.0
225.0,613044.5
26.0,68781.0
783.0,2188735.0
437.0,1211628.0
952.0,2592122.0
364.0,1009928.5
229.0,481210.0
37.0,83872.66666666667
966.0,2145812.0
374.0,1022774.5
469.0,958531.3333333334
968.0,2713566.0
851.0,2383644.0
705.0,1959475.0
930.0,2062325.5
194.0,520456.5
855.0,2378416.0
865.0,2394314.0
503.0,1375071.0
970.0,2668476.0
948.0,2125214.0
579.0,1594016.0
969.0,2697095.0
162.0,436376.6666666667
703.0,1896563.0
152.0,419529.5
682.0,1891498.0
895.0,2439502.0
756.0,1717542.0
111.0,310027.0
226.0,613711.5
689.0,1932308.0
103.0,232107.33333333334
421.0,850692.0
419.0,1148078.5
751.0,2090855.0
586.0,1638722.0
781.0,2220118.0
672.0,1572980.0
119.0,312185.5
53.0,146611.5
151.0,318134.6666666667
403.0,818273.6666666666
946.0,2597888.0
207.0,558473.0
658.0,1781478.0
844.0,2304673.0
885.0,2390721.0
8.0,23564.5
808.0,2183402.0
36.0,98954.0
452.0,1265684.0
651.0,1787798.0
253.0,547602.3333333334
303.0,833171.5
964.0,2641272.0
571.0,1586909.0
623.0,1739838.0
710.0,1956496.0
720.0,1678543.5
262.0,715298.0
610.0,1694163.0
297.0,819197.5
414.0,1082986.6666666667
150.0,407464.3333333333
789.0,2204515.0
640.0,1762516.0
890.0,2467176.0
550.0,1531906.0
792.0,1738102.0
488.0,1359586.0
147.0,397573.5
146.0,411758.0
721.0,1962861.0
932.0,2614079.0
740.0,2045780.0
659.0,1848134.0
348.0,876219.6666666666
463.0,944670.6666666666
325.0,698431.0
186.0,497506.6666666667
123.0,335073.5
854.0,2345092.0
608.0,1666399.0
143.0,399293.0
959.0,2606055.0
197.0,529021.0
609.0,1712384.0
279.0,760662.5
293.0,811006.5
400.0,1109460.0
122.0,345577.0
183.0,497459.5
202.0,554186.5
438.0,1127687.3333333333
246.0,643199.0
415.0,840392.6666666666
777.0,2181757.0
832.0,2325811.0
907.0,2523290.0
978.0,2177297.5
888.0,1969991.0
129.0,361964.5
637.0,1759062.0
402.0,1032944.0
785.0,2186132.0
912.0,2011595.0
735.0,2033256.0
914.0,2515947.0
219.0,605545.5
641.0,1802918.0
916.0,2539855.0
753.0,2100980.0
807.0,2223121.0
920.0,2529656.0
624.0,1476102.5
853.0,2384424.0
761.0,2100607.0
386.0,1062875.5
973.0,2701049.0
509.0,1410615.0
267.0,729180.5
820.0,2270584.0
441.0,1188075.0
496.0,1366725.0
112.0,303654.5
691.0,1952124.0
232.0,649916.5
870.0,1859930.0
607.0,1676987.0
671.0,1867244.0
373.0,750759.3333333334
982.0,2700888.0
843.0,2324226.0
233.0,635707.0
786.0,1739058.5
676.0,1874215.0
317.0,877224.0
648.0,1514249.0
410.0,1131490.0
899.0,2493625.0
709.0,1950306.0
358.0,981500.5
258.0,645937.3333333334
744.0,1653240.5
627.0,1726003.0
632.0,1742467.0
282.0,732931.0
376.0,1025724.0
384.0,999752.3333333334
224.0,629860.5
954.0,2100352.5
901.0,2456226.0
472.0,1321613.0
347.0,943371.0
505.0,1395859.0
639.0,1781596.0
988.0,2717325.0
929.0,2588476.0
906.0,1992387.0
619.0,1689005.0
876.0,1928354.0
845.0,2327575.0
645.0,1755715.0
847.0,2346077.0
556.0,1548237.0
958.0,2600236.0
577.0,1585565.0
795.0,2216797.0
85.0,185586.0
242.0,661141.5
698.0,1923684.0
159.0,445470.5
524.0,1419179.0
35.0,90902.0
540.0,1256071.5
170.0,476615.0
654.0,1526828.5
891.0,2489826.0
858.0,1893774.0
848.0,2342367.0
945.0,2571168.0
