Time,target_send_rate,total_size_bytes
512.0000,59.0100,455313215.5356
513.0000,84.7000,456611300.2398
514.0000,57.7200,457473826.9476
515.0000,74.6800,458610151.4172
516.0000,67.3800,459628626.6144
517.0000,61.1200,460546042.0242
518.0000,61.4400,461468623.4298
519.0000,65.2000,462451905.2826
520.0000,59.6000,463344782.2140
521.0000,70.5000,464413625.8674
522.0000,56.8600,465262268.9622
523.0000,57.5300,466121728.3602
524.0000,60.6900,467032201.9638
525.0000,52.8500,467816108.6772
526.0000,58.5200,468691550.3736
527.0000,58.0700,469559727.3888
528.0000,72.3800,470658921.2658
529.0000,43.0000,471283812.1800
530.0000,53.2400,472074014.9502
531.0000,62.1100,473007412.6590
532.0000,62.0900,473940487.4928
533.0000,57.0500,474792197.8974
534.0000,53.0700,475579656.2328
535.0000,53.1600,476368567.5042
536.0000,49.4200,477097101.2034
537.0000,61.2100,478015969.5498
538.0000,58.6600,478893671.3694
539.0000,55.9800,479728107.9762
540.0000,62.2100,480663120.0582
541.0000,65.8900,481657541.0886
542.0000,44.2600,482302773.1098
543.0000,37.2200,482834353.2300
544.0000,59.4900,483725454.3504
545.0000,44.8000,484379403.9894
546.0000,46.2700,485057084.9202
547.0000,51.8900,485825493.6468
548.0000,54.4300,486634907.4630
549.0000,46.7500,487320337.3872
550.0000,56.4300,488162038.6752
551.0000,58.4500,489036350.3100
552.0000,57.2500,489891289.4616
553.0000,60.7100,490802085.9396
554.0000,57.6700,491663805.4602
555.0000,47.5800,492362634.6852
556.0000,58.0300,493230165.9510
557.0000,55.0700,494049911.7582
558.0000,54.1400,494854643.8908
559.0000,62.5500,495795144.8430
560.0000,59.4900,496686245.9634
561.0000,49.1700,497410743.7284
562.0000,47.3600,498106021.3314
563.0000,42.2900,498719450.1930
564.0000,44.1000,499362099.2166
565.0000,58.2500,500233182.1044
566.0000,45.5000,500898432.3582
567.0000,53.1800,501687666.5046
568.0000,35.0100,502183568.9682
569.0000,53.8800,502984103.7294
570.0000,47.0800,503674861.0860
571.0000,50.9100,504427448.9514
572.0000,49.7200,505160825.7714
573.0000,43.6600,505796371.5510
574.0000,44.8500,506451128.3766
575.0000,57.4700,507309619.1502
576.0000,46.9800,507998762.1336
577.0000,46.6400,508682416.2468
578.0000,40.6500,509269369.3812
579.0000,49.4300,509998064.5176
